created_at,tweet,username
2017-10-30 16:08:28+00:00,  la calle presidente Franco ya tiene pozos nuevamente,AnaSoskin
2017-10-30 16:06:47+00:00,Hace más de 6 meses hicieron esto y dejaron así !! Están esperando que alguien se mate contra estos topes de cemento ??pic.twitter.com/XdIyRpsdoh,monivio
2017-10-30 16:05:06+00:00,Cerraron al pedo el paseo central para entrar hacia kostianovsky hace meses y sigue lleno de escombros! Una vergüenzapic.twitter.com/ntZTIJlebB,monivio
2017-10-30 16:02:33+00:00,"Por favor solucionen el tema f. machain!Que sea de una sola mano hasta RCA Argentina, y saquen la trampa mortal que pusieron en c. Recalde !",monivio
2017-10-30 16:00:36+00:00,¿Deben darse de baja las vallas en vía publica de las empresas de publicidad y la publicidad en pantallas led? es lo mismo supongo.,andreavronik_
2017-10-30 15:55:28+00:00,  esta loco     &,mirledes
2017-10-30 15:55:17+00:00,Para cuando la recuperación de este hermoso parque?,sandwinada
2017-10-30 15:55:11+00:00,En la esquina de Charles De Gaulle y Campos Cervera no paran los autos. Pasan como si el cartel no existiera.,monthom57
2017-10-30 15:28:43+00:00,"acordate que el inútil de samaniego licuó el presupuesto del 2016 antes de ""retirarse""",rocioluzviol
2017-10-30 15:24:44+00:00,Con   no hay mucho que hacer. Hay que elegir allí a una persona que quiera hacer algo bueno.   eligió a lo peor,Asuncionsehunde
2017-10-30 15:23:21+00:00,"Nuestras opciones son limitadas, pero no podemos recibir como respuesta en   ""es un problema complejo, no sé qué hacer""",Asuncionsehunde
2017-10-30 15:21:20+00:00,Opción 2:   puede demandar resarcimiento a   Cuando se le empiece a embargar sus fondos serán más ágiles para reparar,Asuncionsehunde
2017-10-30 15:18:45+00:00,Solamente se abona 30.000 gs. ¡Te esperamos!,AsuncionMuni
2017-10-30 15:16:03+00:00,Creemos que tiene tiempo al menos para proponer alguna solución. Igual que los concejales y diputados. Ej: Municipalizar el agua,Asuncionsehunde
2017-10-30 15:10:14+00:00,Es responsabilidad de la  ,anaperez192
2017-10-30 15:08:32+00:00,"Hola, nosotros procederemos al retiro de los residuos que se encuentran en la calle; mientras que   ya está al tanto del baldío.",AsuDsu
2017-10-30 15:01:35+00:00,¿Qué hacen los miles de funcionarios municipales? ¡Nada! ¿Para qué mantenerlos?    ,GusGonSan
2017-10-30 14:59:21+00:00,"Es reinante la ignorancia vial, la vida en la calle es la sobrevivencia del más prepotente! Me parece una excelente campaña, muy necesaria!",anaperez192
2017-10-30 14:59:07+00:00,Agradecemos el dato Procesamos su denuncia,pmtasuncion1
2017-10-30 14:56:09+00:00,"  el tráfico sobre Brasil frente al MSPB es un desastre, muchos autos mal estacionados  ",gabibuye
2017-10-30 14:50:54+00:00,Excelente intendente. Muchas historias pasaron por el cristo rey.,Isabelmacielmo1
2017-10-30 14:48:45+00:00,  Seguramente   tiró toda esa basura.  ,LuisgomezOscar
2017-10-30 14:45:46+00:00,X favor castigueb alos k no respetan el PARE..,Maximusdecimus7
2017-10-30 14:45:20+00:00,"Buen día Celso, derivamos tu pedido a Tránsito. A las órdenes.",AsuncionMuni
2017-10-30 14:35:19+00:00,  chicas imposible caminar por E.Ayala entre Choferes y Rca Arg. Chatarras en desarme y estac en doble fila a full. Hagan algo!,marcos1909
2017-10-30 14:28:35+00:00,    si tan solo pudiesen mantener la onda verde en las calles y avenidas sería una gran ayuda al tráfico. pic.twitter.com/LbEg122yGE,Chens802
2017-10-30 14:26:46+00:00,La   lo que tiene aguante para mantener a toda la comunidad parentela de  ,lizvar4
2017-10-30 14:25:29+00:00,Sera q pueden poner 2 carteles de PARE en Montevideo y 15 Proyectadas. Muchos accidentes y las lomadas hicieron muy lejos del cruce. URGENTE,CelsoOchoaB
2017-10-30 14:23:03+00:00,"Genial! Hoy, desaparecieron los baches",Parehara
2017-10-30 14:22:36+00:00,      y de este que paso? Hoy tenian que pasarme el N. de reclamo mientras hay mas bichos ahora  &,richard_fer1992
2017-10-30 14:16:05+00:00,"Respetemos las señalizaciones, las lomadas se utilizan para reducir la velocidad y es un atraso , lo ideal sería la campaña vial en tv.",Isabelmacielmo1
2017-10-30 14:01:09+00:00,creo q dificilmente   podrá arreglar en menos de dos años lo q las anteriores adminitraciones no hicieron en más de 4 décadas,rocioluzviol
2017-10-30 13:59:00+00:00,Feroz cartel de arnaldo y chanti pena frente al ministerio de justicia      ,abnito79
2017-10-30 13:50:48+00:00,En tapa del impreso: nuestro calvario diario. Hasta cuando los caños rotos y aguas servidas?     Gracias  ,Asuncionsehunde
2017-10-30 13:48:14+00:00,Ni el intendente   ni los concejales ni los diputados de Asuncion ni los candidatos a diputado tienen planes sobre esto   &,Asuncionsehunde
2017-10-30 13:46:39+00:00,Exigimos acción tanto de   como de   No basta con la queja de   Debe haber estricto control   &,Asuncionsehunde
2017-10-30 13:43:50+00:00,Gracias   por tocar el tema.Venimos reclamando su inacción a   desde que creamos la cuenta.   sin planes   &,Asuncionsehunde
2017-10-30 13:38:27+00:00,Sigue estando. LPMpic.twitter.com/s3xV6YBKJS,RenatoAcunhaV
2017-10-30 13:36:25+00:00,Donde estacionaste tu moto Renato? Anike dejas frente a casa. Voy a llamar la grúa,AlessaSerodio
2017-10-30 13:36:22+00:00,"    y   , proceden a retiro de   Extemporánea en Av. Felix Bogado y 8va Proyectada.pic.twitter.com/yUMjIemyIX",TSJE_Py
2017-10-30 13:35:43+00:00,Falta mantenimiento a la señalización en la calle..,mark_wiens
2017-10-30 13:35:21+00:00,"Deberían poner tb lomadas o reductores de velocidad en los cruces, muchos carteles de PARE tapados tb...",Beatle_Ciclon
2017-10-30 13:30:11+00:00,Para eso tienen tantos funcionarios? Es el colmo.!! Y nosotros debemos pagar más?  ,GessyCazal
2017-10-30 13:27:32+00:00,porrr favorrr arreglaaaa las callessss mariooo! deja de joder!!!!!!!,aguero_toledo
2017-10-30 13:20:46+00:00,Agradecemos el dato Procesamos su denuncia,pmtasuncion1
2017-10-30 13:19:24+00:00,  Hola   les puedo consultar algo al DM,ANIBALCSPDS
2017-10-30 13:18:35+00:00,Cuando cambian el sentido de las señales de PARE .. deben publicar esa situación. Es criminal no difundirlo.,RicardoRRG71
2017-10-30 13:17:41+00:00,...en todos los medios por favor!!! nadie respeta las señales de transito!!,prdoming
2017-10-30 13:11:35+00:00,"Urge una campaña de educación vial y colocar carteles con nombres de calles; reparación de semáforos, recapado de Avda Aviadores del Chaco.",ftimacass
2017-10-30 13:06:36+00:00,se olvido  ,luchifrutos
2017-10-30 13:06:32+00:00,Asi son publican lo poco que hacen,gracielatrinid4
2017-10-30 13:06:24+00:00,México casi Manuel Domínguez         pic.twitter.com/93PUlNYT5f,RenatoAcunhaV
2017-10-30 12:55:34+00:00,Sera q pueden poner 2 carteles de PARE en Montevideo y 15 Proyectadas. Muchos accidentes y las lomadas hicieron muy lejos del cruce. URGENTE,CelsoOchoaB
2017-10-30 12:53:26+00:00,"Ya que están ahí, pueden quitar los niños que piden dinero y los trabajadores informales ""limpia vidrios"" o mejor dicho asaltantes diurnos.",richiebillie
2017-10-30 12:42:04+00:00,"Propaganda electoral fuera de plazo electoral, Avda Def del Chaco c/ Acceso Sur, 4Mojones      ",SantacruzFISA
2017-10-30 12:26:54+00:00,Se piensa tercerizar los impuestos de Asunción y que el 50% se quede la empresa privada       &,vanev87
2017-10-30 12:26:53+00:00,Que grande   aca en el Barrio Republicano necesitamos una reparación del asfatado de la Calle Japon desde 29 pdas hasta 36,LucioBentez1
2017-10-30 12:26:36+00:00,"Poco, nada se respetar los reglamentos del tráfico, x 3 factores 1poca señalización, 2 los zorro coimero,3 el pésimo estado de las calles",OscarPe57963517
2017-10-30 12:17:43+00:00,Tarea atrasada! Hace meses que están con eso y ahora recien están terminando. Ni que fuera un viaducto.,OicramAzure
2017-10-30 12:12:56+00:00,Deberían haber multas económicas y sanciones de algún tipo para los que incumplen los tiempos establecidos y sobre todo APLICARLAS,Rume_2010
2017-10-30 12:10:34+00:00,Para arrancar la semana. Nueva señal de transito (Moises Bertoni C/ Gral Garay) El CARAJO la hace contundente.     pic.twitter.com/7fgnPe40PU,Bolifranco
2017-10-30 12:02:12+00:00,Bienvenidos a un pais de 3r mundo!!!,SuperpanchoFran
2017-10-30 12:01:50+00:00,Un video Excelente,baezMar83
2017-10-30 12:01:46+00:00,"Pero previamente hay que generar conciencia vial, estimular participacion activa de involucrados, en todos los flancos fallamos.",SuperpanchoFran
2017-10-30 11:59:53+00:00,"No es solo una cuestion de señales, es una cuestion cultural (educacion vial), por eso hay que generar educacion correctivamente (multas).",SuperpanchoFran
2017-10-30 11:52:00+00:00,Excelente propuesta importantísimo para la cultura histórica,baezMar83
2017-10-30 11:45:31+00:00,Primer Presidente y Madame Lynchpic.twitter.com/mWYU3imoex,pmtasuncion1
2017-10-30 11:38:28+00:00,"Buen día, hay atención en la central? Pregunto por lo de la manifestación. Gracias",Andyayala2
2017-10-30 11:33:45+00:00,Falta también en 1er presidente y Mme Lynch,lobotong
2017-10-30 11:28:51+00:00,Cruzó frente a los autos que íbamos hacía san Lorenzo.. Un peligro total al volante el imprudente.,majogadea
2017-10-30 11:27:46+00:00,"La seguridad vial por sobre todo! Ojala de esta forma aprendan a respetar las leyes de tránsito, aún que igual hay algunos que no aprenden l",KarenOrtega321
2017-10-30 11:27:00+00:00,Hoy 6.30 un vehículo que estaba en el carril de mcal lopez que va al centro (semáforo verde) gira y sube rca arg. Ojalá tengamos fotomulta,majogadea
2017-10-30 11:24:47+00:00,"Ya estamos podridos de esto, descomponemos nuestros vehículos y sufrimos todos los días de histeria por su culpa como jefe de Municipio!!!",clauapos
2017-10-30 11:24:14+00:00,  seguimos en lo mismo pic.twitter.com/Jj7ne4y4Oe,Claudia62648919
2017-10-30 11:23:56+00:00,"...incompetente, no hay 1 sola calle la cual no sufre de pozos enormes, está dejando un municipio en abandono con falsas promesas políticas",clauapos
2017-10-30 11:22:27+00:00,"Sr Intendente   hoy 30 de Octubre del 2017 la ciudad de Asunción parece una ciudad Abandonada, hágase cargo o retírese por..",clauapos
2017-10-30 11:21:51+00:00,Procesamos la denuncia.,pmtasuncion1
2017-10-30 11:18:44+00:00,Buenos días. Favor registrar su reclamo al 160 opción 1.,ANDEOficial
2017-10-30 11:18:41+00:00,Muchas gracias! Habria que ubicar un contenedor en esa zona. A diario sucede esa situacion. Restos de comidas que los animales esparcen.,Gabrielin_Py
2017-10-30 11:14:24+00:00,Jajajaja nunca usa uniforme qué clase de superior sería esto?,GUARAKA_0787
2017-10-30 11:12:57+00:00,Micro chatarra descompuesto sobre Avda España y Roa Bastos (ASA)       sacaran estos de circulación?pic.twitter.com/lZFJORaSxE,FerMernes
2017-10-30 11:03:49+00:00,"Buenos días Nestor, los compañeros estarán por el lugar para la verificación correspondiente, Saludos",AsuDsu
2017-10-30 11:01:29+00:00,"Buenos días Mai, los residuos serán retirados en la brevedad, Saludos cordiales.",AsuDsu
2017-10-30 11:01:16+00:00,Thanks!,pikibareiro
2017-10-30 10:54:01+00:00,Acuérdense que el que maneja esta cuenta de la Muni es un hurrero más de dejó Arnaldo. No le pidan mucho.,horacioAquino1
2017-10-30 10:53:13+00:00,"Ya reclame mucho una lomada, pero no me dieron pelota, el domingo pasado casi ocurrió un accidente, hay muchos niños en la plazita",pikibareiro
2017-10-30 10:52:47+00:00,"Buenos días, gracias por escribirnos, procederemos al retiro en la brevedad posible. Saludos cordiales",AsuDsu
2017-10-30 10:52:34+00:00,*Señor,pmtasuncion1
2017-10-30 10:52:09+00:00,Buenos dias S. r Fernández mil disculpas en nombre de este Personal ya hemos comunicado de esta acción p/establecer medidas al respecto.,pmtasuncion1
2017-10-30 10:51:03+00:00,"Santo Domingo c/ Avda. Pozo Favorito, ya solucionaron, mejor si ponen una lomada alta frente a la plazoleta, bajean como loco y hay niños",pikibareiro
2017-10-30 10:50:24+00:00,"Buen día, comunicamos a Vialidad. A las órdenes.",AsuncionMuni
2017-10-30 10:50:14+00:00,Este fue el agente que me gritó en la calle. No se si sabe que tengo un hijo y una esposa como para gritarme puto.,totefr
2017-10-30 10:50:14+00:00,"Buenas José, ya realizamos la denuncia correspondiente.",CPJ_Asu
2017-10-30 10:49:24+00:00,"Buen día, comunicamos a la Dirección de la PMT. Gracias por el dato.",AsuncionMuni
2017-10-30 10:49:18+00:00,Graaacias! que tengan una excelente jornada!,Gonza_gh1s
2017-10-30 10:48:26+00:00,Copiado,pmtasuncion1
2017-10-30 10:48:24+00:00,"Buen día, pasamos a Tránsito, su solicitud. A las órdenes.",AsuncionMuni
2017-10-30 10:46:59+00:00,"Buen día, derivamos a los técnicos, su propuesta. A las órdenes.",AsuncionMuni
2017-10-30 10:46:19+00:00,"Buenas Intendente, en Dr. Paiva y Alferez Silva del Barrio San Antonio, falta señalizar el contramano, es un peligro todos los dias. Gracias",Gonza_gh1s
2017-10-30 10:45:38+00:00,"Un buen saple y multa mejor, en el colectivo es peor como tiran por la ventana la basura",cs_fg
2017-10-30 10:44:09+00:00,"Buen día Zumi, te indicaron número de expediente al denunciar?",AsuncionMuni
2017-10-30 10:43:12+00:00,Procesamos su denuncia.,pmtasuncion1
2017-10-30 10:41:57+00:00,Cobertura P. M.T. Avda. Perú y Petirossi     pic.twitter.com/7E4AjWJFD3,pmtasuncion1
2017-10-30 10:41:23+00:00,Cobertura P. M.T. Colegio Palomino     pic.twitter.com/zqA3hiWHpI,pmtasuncion1
2017-10-30 10:41:13+00:00,"Buen día Manuel, realizaste tu denuncia con Atención al Ciudadano?",AsuncionMuni
2017-10-30 10:39:34+00:00,"    Exoneración del 100 % en pago de multas y recargos,hasta el 5 de noviembre pic.twitter.com/s3V3cNzpVP",LaOpaci
2017-10-30 10:34:50+00:00,"Tomamos nota Luis, también te pedimos registrar tu pedido con   para garantizar la atención. A las órdenes.pic.twitter.com/g2EQyanYiz",AsuncionMuni
2017-10-30 10:32:47+00:00,Lastimosamente no responden.,dagogliano
2017-10-30 10:31:47+00:00,No estaría mal educar a nuestros agentes y enseñarles que están brindando un servicio a la ciudadanía. Problemas personales dejen en su casa,totefr
2017-10-30 10:24:39+00:00,"Suma y sigue la lista, socorro, como aguanta la              ",SantacruzFISA
2017-10-30 10:23:02+00:00,"Buen día, insistimos con   A las órdenes.",AsuncionMuni
2017-10-30 10:21:39+00:00,"Así es Lilian, tienes razón, muchas gracias por el aporte.",AsuncionMuni
2017-10-30 10:16:34+00:00,"Buen día, pasamos el dato a   A las órdenes.",AsuncionMuni
2017-10-30 10:14:20+00:00,Insistimos Carlos. A las órdenes.,AsuncionMuni
2017-10-30 10:09:32+00:00,Agradecemos el dato Canalizamos su denuncia.,pmtasuncion1
2017-10-30 10:03:35+00:00,    &,conchetorales
2017-10-30 10:02:22+00:00,    semáforo dañado (nuevamente) intersección de Estados Unidos y Fulgencio R. Moreno. Favor reparar. Gracias,claudetgarc
2017-10-30 10:00:12+00:00,Cobertura P. M.T. Avda. Mcal. López y San Martín     pic.twitter.com/6sXYg16DLb,pmtasuncion1
2017-10-30 09:50:54+00:00,Cobertura P. M.T. Madame Lynch y Primer Presidente     pic.twitter.com/VMTdnnyoFs,pmtasuncion1
2017-10-30 09:50:00+00:00,Cobertura P. M.T. Zona Instituciones Educativas de Asunción     pic.twitter.com/STydbzaj7N,pmtasuncion1
2017-10-30 09:48:51+00:00,Cobertura P. M.T. Villamayor y Del Puerto     pic.twitter.com/EbnRnAl2F4,pmtasuncion1
2017-10-30 09:40:45+00:00,  semáforo de EEUU y Fulgencio R.Moreno quedó colgado en un lado da rojo y al otro amarillo creando confusión y peligro pic.twitter.com/HbBbSFXoh6,Blasty48
2017-10-30 09:34:19+00:00,    6:32 AM 30.10.2017 14 de mayo c/ Gral. Diaz así amanece Asunción un Lunes y casi todos los días. Vereda Esc. Brasil pic.twitter.com/O0CAUr6k9a,Gabrielin_Py
2017-10-30 09:09:50+00:00,Ojalá que sea verdad,NidiaMaciel7
2017-10-30 09:05:28+00:00,Y a ustedes quien los multa? BLF860 movil 20 sin luz de freno lado izquierdo y luz delantera baja no funciona     pic.twitter.com/AIslsiEyrU,a_almiron
2017-10-30 08:34:02+00:00,  Con lluvia o sin lluvia ¡La basura al basurero! ¡te perjudica a vos y nos perjudica a todos!    ,AsuDgrrd
2017-10-30 08:29:55+00:00,Aviso Meteorológico: 505/17 Sistema de tormentas intensificándose y llegando hacia Gran Asunción   Fuente: D.M.H pic.twitter.com/ijohRRz3vZ,AsuDgrrd
2017-10-30 04:43:15+00:00,Queda tanto por hacer,433430_595
2017-10-30 04:27:21+00:00,Y a los ciudadanos tambn,433430_595
2017-10-30 03:02:43+00:00,Hace ya un mes solicite se pinte las franjas sobre sacramento y España. Nada Hasta ahora.    ,carlosmendozapy
2017-10-30 01:56:18+00:00,"Excelente Mario!! Entodas las arterias, entodas las esquinas!! Vamos!!",markesmar
2017-10-30 01:47:18+00:00,"Intendente, concluya las obras que empezó. Desastre y peligroso los paseos centrales sobre Rca. Argentina. Escombros, tierra, canales. Feo.",Campe83
2017-10-30 01:45:30+00:00,"  lo único que te pido por el amor de Dios los semáforos nada más, en Asunción no existe onda verde",micerlian
2017-10-30 01:34:57+00:00,X favr castiguen de una vez a los tarados k no respetan los PARE!!!! ES la unica manera de k la gente respete,Maximusdecimus7
2017-10-30 01:32:25+00:00,En Paraguay Cada vez k veo un letrero de Pare detengo mi auto y los k vienen detras me bocinan me putean por poco y me chocan,Maximusdecimus7
2017-10-30 01:25:29+00:00,"La calle pariri cuando van a arreglar, desde que la essap rompio todo, tiene cráteres cada 2 metros",BaumannGustavo
2017-10-30 01:01:45+00:00,                   ,esampras
2017-10-30 00:40:03+00:00,Y el costones solo para el insumo o se paga algo por la inscripcion,Christianadlan7
2017-10-30 00:33:55+00:00,Buenas Noches los fines de semana hay actividades y acompañamos para resguardo de los que asistentes.pic.twitter.com/rxNm9B3H47,pmtasuncion1
2017-10-30 00:28:02+00:00,Cual es el fin de esto?,derlisccp
2017-10-30 00:27:39+00:00,A esta hora?,derlisccp
2017-10-30 00:27:20+00:00,Hacen controles en la costanera?,derlisccp
2017-10-29 23:45:06+00:00,"Buena esa Mario, me gusta que estés comprometido y trabajes sin cansancio. Felicitaciones",TatiMoreno11
2017-10-29 23:41:45+00:00,Y prácticamente es así la mayoría en la junta son de partidos tradicionales = atraso,TatiMoreno11
2017-10-29 23:40:22+00:00,"Yo veo muchos cambios en Asunción, nunca se arregló así como vemos en las calles!",TatiMoreno11
2017-10-29 23:38:06+00:00,"Si...por eso pregunté, según informes, parece ser que se llevó todo, hasta los caños...",rocioluzviol
2017-10-29 23:34:09+00:00,"Coincido, la gente no respeta, pero cuando le tocas el bolsillo ""re aprende""",TatiMoreno11
2017-10-29 23:32:20+00:00,Usar lomadas es atraso. Símbolo de que no respetan la velocidad,TatiMoreno11
2017-10-29 23:28:25+00:00,En el incendio del Ycua las puertas abrían hacia dentro y mirieron 426.Aca pueden morir mas de 1000   ud tiene la palabra pic.twitter.com/TblBNDQZFQ,JuanPabloBarei1
2017-10-29 23:22:04+00:00,Retweeted Muni de Asunción (   ¡Los domingos la Costanera se vuelve más deportiva! ¡Te esperamos!...  ,LissGermanotta
2017-10-29 23:12:26+00:00,Hace tiempo que no tenemos luz en la esquina de Juan de Garay y Alférez Silva! Es peligrosooo      ,amayazayas
2017-10-29 23:03:10+00:00,"Siguiente lectura, actos de Gaspar R. de Francia. Es terrible la ansia de publicidaf",gustavo_cordone
2017-10-29 22:59:31+00:00,21 Pdas casi Rojas Silva. Ausencia municipalpic.twitter.com/g6JuyMGis6,tomasgpy
